sim_ind	normalized_rf	kf_distance	MAE
1	0.7735849056603774	1.7314580514521754	1.132140768398653
2	0.7547169811320755	1.6993419580818874	1.3517815072659936
3	0.8301886792452831	1.8209940918643264	1.1478142701346805
4	0.8867924528301887	1.889555921958663	1.3503920119919193
5	0.8867924528301887	1.9035091092634764	1.5482890318828273
6	0.8301886792452831	1.7930646529196028	1.5773691822074063
7	0.7735849056603774	1.6643973539706436	1.279229889682155
8	0.8490566037735849	1.8820779799785514	1.3401296184659925
9	0.8490566037735849	1.7843797688825256	1.232965502863299
10	0.7735849056603774	1.7714767936763633	1.2891905793266005
