sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.47297297297297297	1.8047475757427183	0.4750712666624566	0.5
2	0.5	1.7667281514011928	0.5703378577926319	0.5
3	0.44594594594594594	1.7265590455991273	0.5121195818603521	0.5
4	0.47297297297297297	1.8036712333564695	0.580728135749825	0.5
5	0.527027027027027	1.9287092768262208	0.5554400650319299	0.5
6	0.47297297297297297	2.0440418878879525	0.6177013485835103	0.5
7	0.5405405405405406	1.8849200657550607	0.549285315129475	0.5
8	0.5135135135135135	1.861341675047833	0.5883724334452629	0.5
9	0.47297297297297297	1.526549870025232	0.4916341246936847	0.5
10	0.5405405405405406	1.9189035668140344	0.5028639936754393	0.5
