sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
6	random	0.0	20	1.3526304494292518
6	random	0.0	40	1.202775209715238
6	random	0.0	60	1.1128616224638208
6	random	0.0	80	1.0452359572846186
6	random	0.0	100	0.9754466563520009
6	random	0.0	120	0.9237812863569481
6	random	0.0	140	0.8916525888912162
6	random	0.0	160	0.863696420316843
6	random	0.0	180	0.8446974063595695
6	random	0.0	200	0.8277922594391938
6	random	0.0	220	0.805388756819162
6	random	0.0	240	0.7981393194662757
6	random	0.0	260	0.7755229800438315
6	random	0.0	280	0.7682759991628582
6	random	0.0	300	0.7570718354780256
6	random	0.0	320	0.7521949972029655
6	random	0.0	340	0.7345655869971098
6	random	0.0	360	0.7256966339937787
6	random	0.0	380	0.7121266163639675
6	random	0.0	400	0.7194807777081191
6	random	0.0	420	0.7151311171689129
6	random	0.0	440	0.7152093294555826
6	random	0.0	460	0.7075929157708634
6	random	0.0	480	0.7033921400289062
6	random	0.0	500	0.6947696179090727
6	random	0.0	520	0.6927204198232849
6	random	0.0	540	0.6844877059286687
6	random	0.0	560	0.6846048051491345
6	random	0.0	580	0.689863672104963
6	random	0.0	600	0.6848600271930642
6	random	0.0	620	0.6904976335932206
6	random	0.0	640	0.6858878997217139
6	random	0.0	660	0.6803803749352381
6	random	0.0	680	0.6764796700868462
6	random	0.0	700	0.6748266044420151
6	random	0.0	720	0.6673555086644672
6	random	0.0	740	0.6627480286969247
6	random	0.0	760	0.6586275750903162
6	random	0.0	780	0.6563452885663309
6	random	0.0	800	0.6566450231551099
6	random	0.0	820	0.6532552914468464
6	random	0.0	840	0.6516694780651683
6	random	0.0	860	0.6551106552342449
6	random	0.0	880	0.6499529650715382
6	random	0.0	900	0.6521780569958111
6	random	0.0	920	0.6533296078122977
6	random	0.0	940	0.648631330414523
6	random	0.0	960	0.6434221480112791
6	random	0.0	980	0.6413997277334273
6	random	0.0	1000	0.6407038008886938
