sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.8490566037735849	1.9681582127833976	0.8536366026329945	0.0
2	0.8301886792452831	1.8699638005395076	0.8692643195286203	0.0
3	0.8490566037735849	1.8256305698663695	0.9729253061737374	0.0
4	0.9056603773584906	1.897240213828886	0.8621829918868701	0.0
5	0.8301886792452831	1.759388945603347	0.9161687440875401	0.0
6	0.8490566037735849	1.851619405094863	1.118321262416161	0.0
7	0.7169811320754716	1.6837642771110217	0.8367105574976429	0.0
8	0.9245283018867925	1.9288139527732178	0.9984735002720558	0.0
9	0.8867924528301887	1.908917333347791	1.1919205977952851	0.0
10	0.9056603773584906	1.9739936224134966	1.2721546938882151	0.0
