sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.8497757847533632	4.92959235516262	1.5013551365248632	0.1
2	0.8408071748878924	6.000799409178054	1.3076606570383125	0.1
3	0.8318385650224215	4.839151412568945	1.5196368309164805	0.1
4	0.8811659192825112	5.171035084645055	1.6509576221158728	0.1
5	0.7376681614349776	5.086017017619522	1.0321168201098256	0.1
6	0.8295964125560538	6.037744517048108	1.3787719334121786	0.1
7	0.8452914798206278	4.9593277154329245	1.4788809533224732	0.1
8	0.8677130044843049	5.309264611918735	1.578772825764355	0.1
9	0.7914798206278026	4.886069402974911	1.143819845935234	0.1
10	0.820627802690583	5.388002491021261	1.4160220259404173	0.1
