sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.8706140350877193	6.740532743136774	0.750015088287304	0.0
2	0.9276315789473685	6.955270254594813	0.7583984494396029	0.0
3	0.9057017543859649	6.709752492506187	0.8106398176365037	0.0
4	0.9166666666666666	6.516425510363619	0.8071008959837463	0.0
5	0.9078947368421053	7.105092961927455	0.7891214627114439	0.0
6	0.9166666666666666	7.130644873957229	0.8474049349312569	0.0
7	0.9078947368421053	6.5965169920481115	0.7631025028051823	0.0
8	0.9013157894736842	6.711898171232322	0.7757920636965152	0.0
9	0.9232456140350878	6.86289464343398	0.7447933534511163	0.0
10	0.9385964912280702	6.896999054823277	0.8056048323750934	0.0
