proposal_type	n_mutations	mean MI value
msa_prob_dist	1	0.41645573152192916
msa_prob_dist	2	0.4127060803574032
msa_prob_dist	3	0.40860274115915257
msa_prob_dist	4	0.4047603568228455
msa_prob_dist	5	0.40088506149963443
msa_prob_dist	6	0.3971413911236296
msa_prob_dist	7	0.3938744819516902
msa_prob_dist	8	0.39060710173080015
msa_prob_dist	9	0.3876229635289346
msa_prob_dist	10	0.3852508619005874
msa_prob_dist	11	0.38222959805589135
msa_prob_dist	12	0.3785953086239824
msa_prob_dist	13	0.3763747815194294
msa_prob_dist	14	0.37292511194368144
msa_prob_dist	15	0.37049837387062584
msa_prob_dist	16	0.3672214478225022
msa_prob_dist	17	0.3643557180868174
msa_prob_dist	18	0.3615165063786932
msa_prob_dist	19	0.3585589202791858
msa_prob_dist	20	0.3557925464915296
msa_prob_dist	40	0.31420398754603307
msa_prob_dist	60	0.2865461054609808
msa_prob_dist	80	0.26673491890324813
msa_prob_dist	100	0.25042273197700565
msa_prob_dist	120	0.23968593478811542
msa_prob_dist	140	0.23271963875837598
msa_prob_dist	160	0.22898577035327933
msa_prob_dist	180	0.22409723854786406
msa_prob_dist	200	0.21859126817053412
msa_prob_dist	220	0.2143447651769822
msa_prob_dist	240	0.21000216617724435
msa_prob_dist	260	0.20767264283807585
msa_prob_dist	280	0.20506514756628436
msa_prob_dist	300	0.20589900318268242
msa_prob_dist	320	0.20556635736681758
msa_prob_dist	340	0.20399497277837084
msa_prob_dist	360	0.2025382973757569
msa_prob_dist	380	0.20329710380722923
msa_prob_dist	400	0.2015799677684686
msa_prob_dist	420	0.2005202331639023
msa_prob_dist	440	0.2006061656751197
msa_prob_dist	460	0.20137739794182213
msa_prob_dist	480	0.20155240767422514
msa_prob_dist	500	0.19966881556964947
msa_prob_dist	520	0.20107319147371083
msa_prob_dist	540	0.19943091363216242
msa_prob_dist	560	0.19824869123924446
msa_prob_dist	580	0.1970264756286963
msa_prob_dist	600	0.19615693506442355
msa_prob_dist	620	0.19597980819597413
msa_prob_dist	640	0.19763379360099043
msa_prob_dist	660	0.19656025481681327
msa_prob_dist	680	0.19690164580663744
msa_prob_dist	700	0.1954862678186677
msa_prob_dist	720	0.19529356550226903
msa_prob_dist	740	0.19455696452252938
msa_prob_dist	760	0.193830251186799
msa_prob_dist	780	0.19338120189268793
msa_prob_dist	800	0.1935640336420488
msa_prob_dist	820	0.1934068751565719
msa_prob_dist	840	0.1943879457206853
msa_prob_dist	860	0.1932179462628041
msa_prob_dist	880	0.19282035163047867
msa_prob_dist	900	0.1922214968606521
msa_prob_dist	920	0.1929568417787572
msa_prob_dist	940	0.19251863778192083
msa_prob_dist	960	0.19274386827720857
msa_prob_dist	980	0.1936139020941534
msa_prob_dist	1000	0.1940441657899021
msa_prob_dist	1020	0.19373636459193916
