sim_ind	normalized_rf	kf_distance	MAE
1	0.32195121951219513	3.2274034652374914	0.6436465577134287
2	0.3463414634146341	3.501713466990959	1.0525043198853694
3	0.3024390243902439	3.3470339835489655	0.8983233495171857
4	0.3073170731707317	3.4036999540222683	0.8583319002326402
5	0.36585365853658536	3.517431355586395	0.9106956219359305
6	0.2780487804878049	3.073430443414711	0.8429392351992878
7	0.3121951219512195	3.1719615921468804	0.7544698795336054
8	0.2975609756097561	2.860667074225174	0.613964817882562
9	0.34146341463414637	3.572540697185417	0.9296626225115174
10	0.3073170731707317	3.3839480029928874	1.0066541745239925
