sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.7576219512195121	8.031153442263776	0.9343913365220524	0.0
2	0.7591463414634146	7.889695933730149	1.0396553333799328	0.0
3	0.7789634146341463	7.806858235418625	1.3637354922141245	0.0
4	0.7820121951219512	8.515414024617936	1.0632995936176588	0.0
5	0.7774390243902439	7.867997823832061	1.391220122800478	0.0
6	0.8033536585365854	8.33011112370597	1.2758799499195783	0.0
7	0.7667682926829268	8.11177725886155	0.9681617376169337	0.0
8	0.7698170731707317	7.790514645065105	1.0598184678660516	0.0
9	0.7911585365853658	8.37412715037737	1.0119630805706288	0.0
10	0.7576219512195121	7.623677116842163	1.384485008024876	0.0
