sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.9622641509433962	1.9756934310342842	1.1813240169037045	0.0
2	0.9433962264150944	2.0059025040168046	1.2898759096848484	0.0
3	0.8867924528301887	1.9288215531035384	1.1785120381602694	0.0
4	0.8867924528301887	1.85261215567599	1.322533039884173	0.0
5	0.8867924528301887	1.9185816442033692	1.1071672967340058	0.0
6	0.8679245283018868	1.8997542755439003	1.279653109837039	0.0
7	0.9245283018867925	2.0313895240612716	1.1406127488269358	0.0
8	0.9056603773584906	1.9346005248842364	1.1228506714707094	0.0
9	0.8867924528301887	1.87162098063324	1.1756193998639728	0.0
10	0.9056603773584906	1.9185760457500463	1.2450582527622878	0.0
