sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.34	0.8475391047290597	0.2763859560037704	0.7
2	0.28	0.7143267124791373	0.20884975981146303	0.7
3	0.34	0.8182747124259349	0.33506727602639585	0.7
4	0.42	0.8778556689815229	0.3625511675384615	0.7
5	0.3	0.8346193903876851	0.3745146436613866	0.7
6	0.34	0.7984657767935534	0.30727605933785784	0.7
7	0.42	0.9119618796163705	0.3054668729019609	0.7
8	0.32	0.898935682365037	0.3077086845052795	0.7
9	0.38	0.8454831381117208	0.3873897083793363	0.7
10	0.22	0.7134162962777795	0.1705792491644041	0.7
