sim_ind	normalized_rf	kf_distance	MAE
1	0.8043478260869565	1.9618515656100095	0.4165019518218077
2	0.7608695652173914	1.5608850852359764	0.3767439786001775
3	0.5869565217391305	1.4341150500195523	0.47115779489095766
4	0.6304347826086957	1.438879430150856	0.4024959389202134
5	0.782608695652174	1.6785799565138475	0.4377090569503545
6	0.717391304347826	1.5763491042160334	0.4957248441968084
7	0.7608695652173914	1.5241134864785228	0.44394891584485896
8	0.7391304347826086	1.6559704484387836	0.4357296058023047
9	0.6739130434782609	1.4734985302160535	0.49684655235904307
10	0.8043478260869565	1.6625357315187466	0.47869976713475154
