sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.32222222222222224	0.8214709802397718	0.09486517607608545	0.8
2	0.33611111111111114	0.8648061017052556	0.07073791025151117	0.8
3	0.36666666666666664	0.8513525619063219	0.10704616914031494	0.8
4	0.30833333333333335	0.8216073759648922	0.07240073223495523	0.8
5	0.2972222222222222	0.8555752228128614	0.10210946684840329	0.8
6	0.2611111111111111	0.7915666682856519	0.0917797961042011	0.8
7	0.30277777777777776	0.8155673543347444	0.08331516626245723	0.8
8	0.2972222222222222	0.8222850741542109	0.08794279314810653	0.8
9	0.28133704735376047	0.779563332698596	0.05380367969409814	0.8
10	0.35	0.8168169664991083	0.11513595974893508	0.8
