sim_ind	normalized_rf	kf_distance	MAE
1	0.25365853658536586	2.6330913658676165	0.6226580860367689
2	0.2682926829268293	2.7681722082164857	0.6923912528955506
3	0.2731707317073171	2.4727066250184726	0.5599584480422111
4	0.2682926829268293	2.881227730127033	0.5425674176898867
5	0.23414634146341465	2.700621640011432	0.5452696420795411
6	0.28292682926829266	2.857495199901235	0.6881790809707807
7	0.23414634146341465	2.66423737254951	0.7908578265637644
8	0.21951219512195122	2.8296533333581033	0.5239984960178231
9	0.2634146341463415	2.797044674491584	0.7111818554003153
10	0.2634146341463415	2.618304416633052	0.45620060190159634
