sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.5952380952380952	2.2488007960488354	1.7304439674143761	0.3
2	0.5952380952380952	2.5421586772637124	1.6873017656067646	0.3
3	0.6190476190476191	2.150062985484456	1.749293402295983	0.3
4	0.4523809523809524	2.150145831936189	1.465122687500002	0.3
5	0.6666666666666666	2.5332539079381027	2.2658222515570836	0.3
6	0.6904761904761905	2.412457687731604	2.3630571919852006	0.3
7	0.5714285714285714	2.1952666095973674	1.5140142679809716	0.3
8	0.6190476190476191	2.4592590899949185	1.8907198502663853	0.3
9	0.6428571428571429	2.5793748620424646	1.8099938436395349	0.3
10	0.6666666666666666	2.334986403813954	1.8649640328868933	0.3
