tool	family	mean_hd_corr_41	mean_hd_corr_30
MSA-1b-logitsprop-dynamic-random-10-init-seq-41	PF00005	0.08687308778796979	0.24405940945934373
MSA-1b-logitsprop-dynamic-random-100-init-seq-41	PF00005	0.09599214594974433	0.22484450724067173
MSA-1b-logitsprop-static-10-init-seq-41	PF00005	0.08364107246889473	0.20651900202116752
MSA-1b-logitsprop-static-100-init-seq-41	PF00005	0.09599214594974433	0.22484450724067173
ESM2-33T-650M-logitsprop-init-seq-41	PF00005	0.26749068182894264	0.34155049331138576
Potts-init-seq-41	PF00005	0.33182859194077297	0.35005625654801886
