proposal_type	n_mutations	mean MI value	sim_ind
msa_prob_dist	20	0.3545939748311428	0
msa_prob_dist	40	0.3120091855849694	0
msa_prob_dist	60	0.28125034222003387	0
msa_prob_dist	80	0.2613259901421978	0
msa_prob_dist	100	0.24800591555890095	0
msa_prob_dist	120	0.23770605026894245	0
msa_prob_dist	140	0.23088304450958455	0
msa_prob_dist	160	0.22731165352951613	0
msa_prob_dist	180	0.2220399899802285	0
msa_prob_dist	200	0.21884148180975757	0
msa_prob_dist	220	0.21633324232071482	0
msa_prob_dist	240	0.21410555886498864	0
msa_prob_dist	260	0.2114985815805722	0
msa_prob_dist	280	0.2100265609658898	0
msa_prob_dist	300	0.2083103384877295	0
msa_prob_dist	320	0.20606278253838975	0
msa_prob_dist	340	0.2057945081725047	0
msa_prob_dist	360	0.20456668063832445	0
msa_prob_dist	380	0.20284565215891978	0
msa_prob_dist	400	0.20145351395064706	0
msa_prob_dist	420	0.20189616331897398	0
msa_prob_dist	440	0.20047912553707645	0
msa_prob_dist	460	0.19832138754582307	0
msa_prob_dist	480	0.19757544563835275	0
msa_prob_dist	500	0.19623312280922905	0
msa_prob_dist	520	0.19672085236518963	0
msa_prob_dist	540	0.19645049674994577	0
msa_prob_dist	560	0.19599184157774438	0
msa_prob_dist	580	0.19573887021029232	0
msa_prob_dist	600	0.19458983809838362	0
msa_prob_dist	620	0.19407627126582352	0
msa_prob_dist	640	0.19332888889143254	0
msa_prob_dist	660	0.1931682674099554	0
msa_prob_dist	680	0.19292206789009983	0
msa_prob_dist	700	0.1929272706527911	0
msa_prob_dist	720	0.19379596575146918	0
msa_prob_dist	740	0.19310361325755163	0
msa_prob_dist	760	0.1918647156545154	0
msa_prob_dist	780	0.19200262243899927	0
msa_prob_dist	800	0.1916602026195841	0
msa_prob_dist	820	0.19255432271589962	0
msa_prob_dist	840	0.19176649245682675	0
msa_prob_dist	860	0.1898984778300902	0
msa_prob_dist	880	0.1892412555959167	0
msa_prob_dist	900	0.1902181433620831	0
msa_prob_dist	920	0.18955283157464303	0
msa_prob_dist	940	0.18988594700044148	0
msa_prob_dist	960	0.1882300477262546	0
msa_prob_dist	980	0.1890693923592083	0
msa_prob_dist	1000	0.18937363954332878	0
random	20	0.3673109866920301	0
random	40	0.33525359684878037	0
random	60	0.31309254455105456	0
random	80	0.2937059387336534	0
random	100	0.28220232080026225	0
random	120	0.27122916510107237	0
random	140	0.26306882230427986	0
random	160	0.2545596022113008	0
random	180	0.2500186303075386	0
random	200	0.2436830770033257	0
random	220	0.24093244976367767	0
random	240	0.23669950520015148	0
random	260	0.23340340385567676	0
random	280	0.2308834392133332	0
random	300	0.2286805407629364	0
random	320	0.2250710521821973	0
random	340	0.22261875816497653	0
random	360	0.22228570868359326	0
random	380	0.22055766990850417	0
random	400	0.21940321746169683	0
random	420	0.21928206290244814	0
random	440	0.21776693333374084	0
random	460	0.21660383917557538	0
random	480	0.21749705485149595	0
random	500	0.21565353734091053	0
random	520	0.21404625706394875	0
random	540	0.21302411209751937	0
random	560	0.21225313479210328	0
random	580	0.2107851088041186	0
random	600	0.20965865007906817	0
random	620	0.2087713832607852	0
random	640	0.20839744779332853	0
random	660	0.20767377357372305	0
random	680	0.20670503064420828	0
random	700	0.20516491896090197	0
random	720	0.20500527479776	0
random	740	0.2045632134452435	0
random	760	0.20464043049452324	0
random	780	0.20562655878275335	0
random	800	0.20671225936863866	0
random	820	0.2047422786295316	0
random	840	0.20457059024957625	0
random	860	0.20396427761108651	0
random	880	0.20275215057004348	0
random	900	0.20313009628135315	0
random	920	0.20328170267163445	0
random	940	0.20280644267388828	0
random	960	0.20202371268890248	0
random	980	0.20224788037630542	0
random	1000	0.20191038387313662	0
msa_prob_dist	20	0.3574591965732018	1
msa_prob_dist	40	0.317167354056363	1
msa_prob_dist	60	0.2879831237902157	1
msa_prob_dist	80	0.2690262024877346	1
msa_prob_dist	100	0.2534670517704106	1
msa_prob_dist	120	0.24351727359035247	1
msa_prob_dist	140	0.2346685737969499	1
msa_prob_dist	160	0.23118660188911944	1
msa_prob_dist	180	0.2263627281499617	1
msa_prob_dist	200	0.22383466576602504	1
msa_prob_dist	220	0.2222899308388172	1
msa_prob_dist	240	0.2186469064318051	1
msa_prob_dist	260	0.21483121000781127	1
msa_prob_dist	280	0.21419302327515916	1
msa_prob_dist	300	0.21415944697543848	1
msa_prob_dist	320	0.21069699040887008	1
msa_prob_dist	340	0.20900356601823847	1
msa_prob_dist	360	0.2065425594393662	1
msa_prob_dist	380	0.20676044969983065	1
msa_prob_dist	400	0.20858311409437977	1
msa_prob_dist	420	0.20782965967714226	1
msa_prob_dist	440	0.2065853083715175	1
msa_prob_dist	460	0.20454078639163448	1
msa_prob_dist	480	0.20371959734015024	1
msa_prob_dist	500	0.20360681959421711	1
msa_prob_dist	520	0.20339598819773003	1
msa_prob_dist	540	0.2028314306780703	1
msa_prob_dist	560	0.20236661381916163	1
msa_prob_dist	580	0.20040989741430343	1
msa_prob_dist	600	0.19987077513856366	1
msa_prob_dist	620	0.19999073454212463	1
msa_prob_dist	640	0.19866552003213112	1
msa_prob_dist	660	0.1999422195183896	1
msa_prob_dist	680	0.1981836284108516	1
msa_prob_dist	700	0.1992916213673065	1
msa_prob_dist	720	0.19798987905728463	1
msa_prob_dist	740	0.1966280358709953	1
msa_prob_dist	760	0.19748780708102848	1
msa_prob_dist	780	0.197376171593542	1
msa_prob_dist	800	0.1960740791567908	1
msa_prob_dist	820	0.19465509461983757	1
msa_prob_dist	840	0.19384630207306128	1
msa_prob_dist	860	0.19211753202484155	1
msa_prob_dist	880	0.19295562883831516	1
msa_prob_dist	900	0.19392436599183274	1
msa_prob_dist	920	0.1923275792295182	1
msa_prob_dist	940	0.19133808332210306	1
msa_prob_dist	960	0.19179027046434236	1
msa_prob_dist	980	0.19092905506182342	1
msa_prob_dist	1000	0.19129693811762744	1
random	20	0.36986292678427934	1
random	40	0.33575344790450967	1
random	60	0.31221280217654784	1
random	80	0.2945521800356498	1
random	100	0.2814542241088653	1
random	120	0.2741915535281424	1
random	140	0.26623413366608367	1
random	160	0.2598189663273665	1
random	180	0.2539847884818384	1
random	200	0.24853370660961738	1
random	220	0.2448374565484775	1
random	240	0.24250349714591823	1
random	260	0.24045774603179515	1
random	280	0.23755918327171952	1
random	300	0.23533470360088632	1
random	320	0.23332702857947063	1
random	340	0.2307564955002542	1
random	360	0.22967107688475974	1
random	380	0.2270431856638461	1
random	400	0.2255347318413361	1
random	420	0.22255398468912302	1
random	440	0.22233103131077292	1
random	460	0.22002982724565084	1
random	480	0.21831374015519645	1
random	500	0.21745767366452257	1
random	520	0.21568579173417338	1
random	540	0.21445472702630908	1
random	560	0.21392575030397812	1
random	580	0.21364455051149675	1
random	600	0.21159035425528305	1
random	620	0.20915121293095518	1
random	640	0.2104596549916784	1
random	660	0.20905056641562345	1
random	680	0.2093221729415915	1
random	700	0.2082923264160248	1
random	720	0.20817911548766502	1
random	740	0.2065396737813552	1
random	760	0.207131750057433	1
random	780	0.20672520940022335	1
random	800	0.20565101702787625	1
random	820	0.20479867880337943	1
random	840	0.20453327539445398	1
random	860	0.20408998488911315	1
random	880	0.2035224720638408	1
random	900	0.20343649653147103	1
random	920	0.20249185668012668	1
random	940	0.20205845068449646	1
random	960	0.20208315797331747	1
random	980	0.20199646278401806	1
random	1000	0.2009879333768809	1
msa_prob_dist	20	0.3570515016557109	2
msa_prob_dist	40	0.3167764882020513	2
msa_prob_dist	60	0.2882221744515236	2
msa_prob_dist	80	0.2679621498756564	2
msa_prob_dist	100	0.25215122717305	2
msa_prob_dist	120	0.24081788386515965	2
msa_prob_dist	140	0.23311750812471496	2
msa_prob_dist	160	0.2270452913635803	2
msa_prob_dist	180	0.22283525521757652	2
msa_prob_dist	200	0.2197568174529035	2
msa_prob_dist	220	0.21755575964194404	2
msa_prob_dist	240	0.2150096752414055	2
msa_prob_dist	260	0.2121148810886247	2
msa_prob_dist	280	0.21062383461740833	2
msa_prob_dist	300	0.2096504958592321	2
msa_prob_dist	320	0.20644054050075236	2
msa_prob_dist	340	0.20372619140697443	2
msa_prob_dist	360	0.20179346846380397	2
msa_prob_dist	380	0.19917855753788372	2
msa_prob_dist	400	0.1995951024762359	2
msa_prob_dist	420	0.19881216210460384	2
msa_prob_dist	440	0.1991565213816989	2
msa_prob_dist	460	0.1979855638342518	2
msa_prob_dist	480	0.19721574815424597	2
msa_prob_dist	500	0.1959056607366229	2
msa_prob_dist	520	0.19519197205705954	2
msa_prob_dist	540	0.19377970792696209	2
msa_prob_dist	560	0.19346254105805216	2
msa_prob_dist	580	0.19418648817586356	2
msa_prob_dist	600	0.19275628171569123	2
msa_prob_dist	620	0.19280270085941956	2
msa_prob_dist	640	0.19144128407871067	2
msa_prob_dist	660	0.1931272771510673	2
msa_prob_dist	680	0.19368573993900542	2
msa_prob_dist	700	0.19227266339802238	2
msa_prob_dist	720	0.19238006765164498	2
msa_prob_dist	740	0.19262760339086835	2
msa_prob_dist	760	0.19202581380972067	2
msa_prob_dist	780	0.19035367420927238	2
msa_prob_dist	800	0.19012991940692475	2
msa_prob_dist	820	0.19114845041548068	2
msa_prob_dist	840	0.19093863407314773	2
msa_prob_dist	860	0.1896953941478176	2
msa_prob_dist	880	0.18983024374808544	2
msa_prob_dist	900	0.1888288668506726	2
msa_prob_dist	920	0.1892084448870776	2
msa_prob_dist	940	0.18900195474441325	2
msa_prob_dist	960	0.18805142453224397	2
msa_prob_dist	980	0.1859425862391592	2
msa_prob_dist	1000	0.1853045839839654	2
random	20	0.3673173950102521	2
random	40	0.33450611189861074	2
random	60	0.31019314183905056	2
random	80	0.29319646633897134	2
random	100	0.2806041497101278	2
random	120	0.2693150389302446	2
