sim_ind	normalized_rf	kf_distance	MAE
1	0.6692015209125475	4.739976274085642	0.7960704111547146
2	0.6692015209125475	4.776010812820224	0.9611770110090407
3	0.6539923954372624	5.068630590135925	0.8110055770506053
4	0.6958174904942965	5.055474405511211	0.9846451777341338
5	0.6197718631178707	4.765275749368561	0.8361316777682085
6	0.6121673003802282	4.772153513064508	0.7202919360419154
7	0.596958174904943	4.76338732753154	0.9313547767936505
8	0.6806083650190115	5.067889376451918	0.884581518647168
9	0.6083650190114068	4.923120561950435	0.9504522346296764
10	0.6539923954372624	4.8765673254319015	0.8618912316288123
