sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.875	2.844380469539345	0.9662305324279378	0.0
2	0.8958333333333334	2.7249531444138557	0.9259923742409009	0.0
3	0.8333333333333334	2.8399385483643917	0.7857634241668431	0.0
4	0.875	2.6870643090427824	0.9866814925745884	0.0
5	0.9166666666666666	2.766501597693083	0.8909605803938567	0.0
6	0.90625	2.8254294271005893	0.9005071588491446	0.0
7	0.8541666666666666	2.7548230560767526	0.8647234840124132	0.0
8	0.875	2.8199212783334926	0.8763050229880092	0.0
9	0.875	2.7956246131554168	0.9504178189301475	0.0
10	0.8958333333333334	3.042147590919539	0.9125556721723121	0.0
