sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
6	random	0.3	20	0.3654912848609449
6	random	0.3	40	0.32921382295942103
6	random	0.3	60	0.30780051222434196
6	random	0.3	80	0.29273216059393764
6	random	0.3	100	0.27693882735074493
6	random	0.3	120	0.2659730932045992
6	random	0.3	140	0.25818756681529803
6	random	0.3	160	0.2530680820027663
6	random	0.3	180	0.2479007687922282
6	random	0.3	200	0.24409951085570944
6	random	0.3	220	0.23975154334512636
6	random	0.3	240	0.23678139931361122
6	random	0.3	260	0.23207813135362493
6	random	0.3	280	0.2306136905907919
6	random	0.3	300	0.22787620306990516
6	random	0.3	320	0.22529180325202663
6	random	0.3	340	0.22287322208553054
6	random	0.3	360	0.22052185133666388
6	random	0.3	380	0.21926393765979502
6	random	0.3	400	0.21936270579425424
6	random	0.3	420	0.21801932457661735
6	random	0.3	440	0.2178809690696979
6	random	0.3	460	0.21671472335970288
6	random	0.3	480	0.21614920239155005
6	random	0.3	500	0.2147142106788596
6	random	0.3	520	0.21452741067167969
6	random	0.3	540	0.21342203650673824
6	random	0.3	560	0.21370930121989104
6	random	0.3	580	0.21398933372779544
6	random	0.3	600	0.21249215073361813
6	random	0.3	620	0.21251098722769513
6	random	0.3	640	0.2122305707782056
6	random	0.3	660	0.2106966111754219
6	random	0.3	680	0.21000689635376807
6	random	0.3	700	0.20963823429737255
6	random	0.3	720	0.20850401374250796
6	random	0.3	740	0.20745052931719776
6	random	0.3	760	0.20802518133429324
6	random	0.3	780	0.20681180613486447
6	random	0.3	800	0.20684643342515638
6	random	0.3	820	0.2063532993521527
6	random	0.3	840	0.20696430206985106
6	random	0.3	860	0.20787342563652605
6	random	0.3	880	0.20684453997773763
6	random	0.3	900	0.20680640054194704
6	random	0.3	920	0.2068761667470329
6	random	0.3	940	0.20673704055924874
6	random	0.3	960	0.20572257303771918
6	random	0.3	980	0.2055392715302137
6	random	0.3	1000	0.20499386016381416
6	random	0.3	1020	0.20473155708147087
6	random	0.3	1040	0.20447019517167472
6	random	0.3	1060	0.20479573273794724
6	random	0.3	1080	0.20498483243456184
6	random	0.3	1100	0.2050701527243902
6	random	0.3	1120	0.20455226721382322
6	random	0.3	1140	0.20363523209871712
6	random	0.3	1160	0.20456720646663532
6	random	0.3	1180	0.204558294061352
6	random	0.3	1200	0.20497665066481435
6	random	0.3	1220	0.20527454420220786
6	random	0.3	1240	0.20486195833196405
6	random	0.3	1260	0.2035751302120297
6	random	0.3	1280	0.2029223957500161
6	random	0.3	1300	0.20401665042842396
6	random	0.3	1320	0.20378869530705002
6	random	0.3	1340	0.2019917043261432
6	random	0.3	1360	0.202892028147797
6	random	0.3	1380	0.20286253247889327
6	random	0.3	1400	0.2022871621482121
6	random	0.3	1420	0.20138559500632394
6	random	0.3	1440	0.20129139304832325
6	random	0.3	1460	0.20124958259844958
6	random	0.3	1480	0.2019500824823104
6	random	0.3	1500	0.2007676444635599
6	random	0.3	1520	0.2005612479303335
6	random	0.3	1540	0.20028749865206147
6	random	0.3	1560	0.1984878776426066
6	random	0.3	1580	0.19857947748464502
6	random	0.3	1600	0.198977877966023
6	random	0.3	1620	0.1988981104776077
6	random	0.3	1640	0.19971233495199944
6	random	0.3	1660	0.19983547594287374
6	random	0.3	1680	0.20025675752114883
6	random	0.3	1700	0.20022593882824904
6	random	0.3	1720	0.1984927026350102
6	random	0.3	1740	0.19882447049789467
6	random	0.3	1760	0.1997137286108807
6	random	0.3	1780	0.19865954797629556
6	random	0.3	1800	0.19895941535833547
6	random	0.3	1820	0.19829587418231523
6	random	0.3	1840	0.1983211464454596
6	random	0.3	1860	0.19659688052531335
6	random	0.3	1880	0.1962537774107397
6	random	0.3	1900	0.19731954189786435
6	random	0.3	1920	0.19740920568948717
6	random	0.3	1940	0.19666179889660537
6	random	0.3	1960	0.19632620603817888
6	random	0.3	1980	0.19648306005514415
6	random	0.3	2000	0.19630833219648083
