sim_ind	normalized_rf	kf_distance	MAE
1	0.7727272727272727	2.416054245087999	0.5556203189635651
2	0.7424242424242424	2.1574536231749777	0.5946328646567166
3	0.8333333333333334	2.213883579270629	0.6475929853546958
4	0.8181818181818182	2.4636245039725013	0.6003826230899906
5	0.8787878787878788	2.4892460683087085	0.6465802406883229
6	0.8333333333333334	2.4433179744323157	0.6088427658323091
7	0.8939393939393939	2.4727413447576025	0.5798400582339767
8	0.8484848484848485	2.371010172082641	0.6084655584354688
9	0.8787878787878788	2.529787779458436	0.6062908148336263
10	0.7727272727272727	2.3405682788463213	0.5331120945939429
