sim_ind	normalized_rf	kf_distance	MAE
1	0.7708333333333334	3.2677218886983663	1.1159742932575216
2	0.8020833333333334	3.59670025355002	0.9960317534946338
3	0.7708333333333334	3.9851940926733755	0.8488535275285088
4	0.8229166666666666	4.330733645745534	0.8535570535329249
5	0.7291666666666666	6.076119678937937	1.2550634773286344
6	0.8229166666666666	3.2885696905357555	0.8470584828828124
7	0.8020833333333334	2.592339632890234	0.7129689371018332
8	0.75	2.926009539348433	0.7213682758857567
9	0.7916666666666666	3.1806250952293262	0.7229577538910162
10	0.7604166666666666	3.549110357489509	0.9677086093141147
