sim_ind	normalized_rf	kf_distance	MAE
1	0.3121951219512195	3.0119368093263574	0.8033945544134896
2	0.3073170731707317	3.3993157851330587	0.8796212111657142
3	0.2975609756097561	3.280765359071436	0.9728141057710257
4	0.36097560975609755	3.3099060754287297	0.9863346014185119
5	0.2926829268292683	3.07232887859513	0.749282708403266
6	0.2975609756097561	3.174805602592185	0.8615901045830875
7	0.3024390243902439	3.3255303856575082	1.0092593275519934
8	0.33170731707317075	3.144694971126897	1.0112375414254524
9	0.33658536585365856	3.3614100300678427	0.9926794665080432
10	0.2975609756097561	3.322824923858207	0.8616585499619164
