sim_ind	normalized_rf	kf_distance	MAE
1	0.5316455696202531	2.7462657573709	0.5536440162192621
2	0.5379746835443038	2.8832661204312378	0.5504791482893069
3	0.5949367088607594	3.137831119632188	0.5435133323938655
4	0.5316455696202531	2.863069294115357	0.44051924090880445
5	0.5063291139240507	2.842004504207911	0.5397380784522022
6	0.569620253164557	2.907659571033824	0.5579008023764941
7	0.5316455696202531	3.0091874121431665	0.43778418935558144
8	0.5822784810126582	3.165183478799645	0.4811534395966197
9	0.5569620253164557	2.9656697988915934	0.48393027130731275
10	0.5759493670886076	2.9479901034302674	0.605594289648188
