sim_ind	normalized_rf	kf_distance	MAE
1	0.8490566037735849	1.863979360845808	1.3977368518343436
2	0.8113207547169812	1.7675699848763078	1.497553462319193
3	0.9245283018867925	1.9558907150685534	1.4765673943851858
4	0.8867924528301887	1.765107777765832	1.6595182293225583
5	0.8301886792452831	1.8450584125472091	1.5590748249831685
6	0.7735849056603774	1.7921512102187396	1.517105830140067
7	0.8301886792452831	1.9423141854103418	1.4709654044148164
8	0.8867924528301887	1.8639633398638429	1.3099762449508396
9	0.8301886792452831	1.7712427781526523	1.567333139779124
10	0.9622641509433962	1.9269232310995095	1.7615921903084153
