proposal_type	n_mutations	mean MI value
msa_prob_dist	20	0.3760809171943963
msa_prob_dist	40	0.35776887834346005
msa_prob_dist	60	0.35159367523792207
msa_prob_dist	80	0.3475245528761744
msa_prob_dist	100	0.3455341586273488
msa_prob_dist	120	0.3440165455802783
msa_prob_dist	140	0.34291433084512807
msa_prob_dist	160	0.3433786371990611
msa_prob_dist	180	0.34380106277286054
msa_prob_dist	200	0.34308484257396593
msa_prob_dist	220	0.3416809867431793
msa_prob_dist	240	0.34196658418084996
msa_prob_dist	260	0.33998651634044497
msa_prob_dist	280	0.341709858985803
msa_prob_dist	300	0.3407551339949833
msa_prob_dist	320	0.3408508677490695
msa_prob_dist	340	0.34094567447151336
msa_prob_dist	360	0.34079150810213193
msa_prob_dist	380	0.3403918361904311
msa_prob_dist	400	0.34058048857093154
msa_prob_dist	420	0.3406054603198342
msa_prob_dist	440	0.34056387514222547
msa_prob_dist	460	0.3399653042790595
msa_prob_dist	480	0.341170114686334
msa_prob_dist	500	0.34033475842480987
msa_prob_dist	520	0.3399805020702105
msa_prob_dist	540	0.33870187008555214
msa_prob_dist	560	0.33964354077370107
msa_prob_dist	580	0.33930420549480295
msa_prob_dist	600	0.33966896785891104
msa_prob_dist	620	0.338635278008032
msa_prob_dist	640	0.33891293995066407
msa_prob_dist	660	0.33916974123618543
msa_prob_dist	680	0.33919089618387205
msa_prob_dist	700	0.33854083103380483
msa_prob_dist	720	0.33970671936632
msa_prob_dist	740	0.33872301755998685
msa_prob_dist	760	0.3384706206403998
msa_prob_dist	780	0.3381904597910934
msa_prob_dist	800	0.3393408843904951
msa_prob_dist	820	0.33822399321860463
msa_prob_dist	840	0.33906846681480923
msa_prob_dist	860	0.338330272120475
msa_prob_dist	880	0.3394518453376579
msa_prob_dist	900	0.3385201000967944
msa_prob_dist	920	0.3392202712660736
msa_prob_dist	940	0.33846191404441056
msa_prob_dist	960	0.339254987022724
msa_prob_dist	980	0.33900774188584426
msa_prob_dist	1000	0.33906378113566127
random	20	0.3256474680771779
random	40	0.31779857798585903
random	60	0.31329996441076347
random	80	0.31227633292915924
random	100	0.3096176711876831
random	120	0.3096768362202566
random	140	0.3085161157751991
random	160	0.3086009813798763
random	180	0.3070586893350352
random	200	0.3076927448640075
random	220	0.3071106111557258
random	240	0.30764402517434464
random	260	0.30712001674220485
random	280	0.3075568930172893
random	300	0.30692964278914786
random	320	0.30748102963328233
random	340	0.3071268024606656
random	360	0.30738689148673676
random	380	0.3069728839732044
random	400	0.307713601634586
random	420	0.30707228473723047
random	440	0.3079308495527193
random	460	0.3071320266596396
random	480	0.30763061583201734
random	500	0.3073348502625917
random	520	0.3077053539609702
random	540	0.3068339902654956
random	560	0.3075572635776132
random	580	0.30734772896407386
random	600	0.3076477253956494
random	620	0.3071651316119975
random	640	0.3077761206291174
random	660	0.307263199704425
random	680	0.3078802839920016
random	700	0.30702235026376584
random	720	0.3076173635540224
random	740	0.307281297414454
random	760	0.3076603714791418
random	780	0.30704417025894576
random	800	0.30761613859794357
random	820	0.30742396247093756
random	840	0.30771997177875143
random	860	0.3068887155178906
random	880	0.3076943652970397
random	900	0.30719397656643954
random	920	0.3077869433215311
random	940	0.3072366993393389
random	960	0.30764233513427747
random	980	0.3073891022398465
random	1000	0.3077170147781004
