sim_ind	normalized_rf	kf_distance	MAE
1	0.8706140350877193	14.90741713773425	2.4708931425792753
2	0.8640350877192983	14.044842733429935	2.2313661308448727
3	0.9013157894736842	12.405456445480633	1.749003681066478
4	0.881578947368421	14.522259200939661	2.1665921585792574
5	0.875	12.085914887604718	1.6037742629131562
6	0.8771929824561403	12.158966441165568	1.5484886843729047
7	0.8881578947368421	11.792416780953815	1.586916313408629
8	0.875	12.219055668024605	1.8992925239711322
9	0.8837719298245614	11.113117235805456	1.497615893173242
10	0.8925438596491229	11.516311601645727	1.5323067431048767
