sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.9	1.655410129033613	0.6538766307405725	0.1
2	0.84	1.4985019253524798	0.6540879241915529	0.1
3	0.82	1.3703783826674827	0.594445553825792	0.1
4	0.84	1.508638120834172	0.6262151775874818	0.1
5	0.94	1.73042078048495	0.6858424990331824	0.1
6	0.84	1.5802798473234634	0.5329465769713427	0.1
7	0.76	1.346845548569347	0.6024479972511309	0.1
8	0.82	1.470167032677616	0.6399331710075417	0.1
9	0.76	1.3287581584979617	0.720069389868025	0.1
10	0.86	1.5972740550557496	0.6470330544147803	0.1
