sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.3170731707317073	3.0003676356791242	0.6957531027279208	0.9
2	0.28780487804878047	3.1701996721213175	0.6082063331073584	0.9
3	0.2780487804878049	2.9680297090978343	0.6653411411827778	0.9
4	0.28292682926829266	3.0431072188796575	0.6145627562215643	0.9
5	0.24878048780487805	2.9966428326914905	0.6171478431893497	0.9
6	0.2682926829268293	2.9022934674681857	0.6129257913052848	0.9
7	0.25853658536585367	3.114734358035688	0.789398097936212	0.9
8	0.23414634146341465	2.5749428252964055	0.5449380086655402	0.9
9	0.24878048780487805	2.6892500739657805	0.5899308026151668	0.9
10	0.23414634146341465	3.0169981853303858	0.6342127951064213	0.9
