sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
3	logits	0.0	20	1.3382924962831106
3	logits	0.0	40	1.1181182381277228
3	logits	0.0	60	0.9614202051260711
3	logits	0.0	80	0.8571559786977627
3	logits	0.0	100	0.7835354741456696
3	logits	0.0	120	0.7287230917927473
3	logits	0.0	140	0.686186541316216
3	logits	0.0	160	0.6531136287990807
3	logits	0.0	180	0.6292010134108614
3	logits	0.0	200	0.6043207580060924
3	logits	0.0	220	0.5924703670744513
3	logits	0.0	240	0.5752733635942213
3	logits	0.0	260	0.5603177813293256
3	logits	0.0	280	0.5501059450941425
3	logits	0.0	300	0.5449940457182667
3	logits	0.0	320	0.5417800342656346
3	logits	0.0	340	0.5300435450386404
3	logits	0.0	360	0.522824083577325
3	logits	0.0	380	0.5204482588508784
3	logits	0.0	400	0.50314522485954
3	logits	0.0	420	0.4958941159839851
3	logits	0.0	440	0.49469391514142613
3	logits	0.0	460	0.49846216583655734
3	logits	0.0	480	0.4955246186412507
3	logits	0.0	500	0.4900042906268201
3	logits	0.0	520	0.4801134594292063
3	logits	0.0	540	0.47537105484634934
3	logits	0.0	560	0.47263942844253837
3	logits	0.0	580	0.47280463336048056
3	logits	0.0	600	0.4654534816653928
3	logits	0.0	620	0.4683965234984021
3	logits	0.0	640	0.46471917435001914
3	logits	0.0	660	0.46357615537941077
3	logits	0.0	680	0.4620305199832231
3	logits	0.0	700	0.46026881150653465
3	logits	0.0	720	0.4581188113339129
3	logits	0.0	740	0.4543051964788641
3	logits	0.0	760	0.4500632491596982
3	logits	0.0	780	0.4464379295360272
3	logits	0.0	800	0.44462131498879265
3	logits	0.0	820	0.444317743639049
3	logits	0.0	840	0.44991468427190645
3	logits	0.0	860	0.44919326094459944
3	logits	0.0	880	0.44783891384358515
3	logits	0.0	900	0.4498876440369101
3	logits	0.0	920	0.4444010366404091
3	logits	0.0	940	0.4457778323762004
3	logits	0.0	960	0.44467339522270044
3	logits	0.0	980	0.4424834365995869
3	logits	0.0	1000	0.44023467561464646
3	logits	0.0	1020	0.43520071981624675
3	logits	0.0	1040	0.4344628555721765
3	logits	0.0	1060	0.43596493883492676
3	logits	0.0	1080	0.43661816609443144
3	logits	0.0	1100	0.4367622659142251
3	logits	0.0	1120	0.435597339487409
3	logits	0.0	1140	0.4269765247987091
3	logits	0.0	1160	0.42507672216558035
3	logits	0.0	1180	0.4294892385612181
3	logits	0.0	1200	0.42343494524625036
3	logits	0.0	1220	0.4243171024066375
3	logits	0.0	1240	0.42320222710402866
3	logits	0.0	1260	0.4240250239408636
3	logits	0.0	1280	0.4233417106648592
3	logits	0.0	1300	0.42366852109371816
3	logits	0.0	1320	0.41971737756998584
3	logits	0.0	1340	0.41558656662241544
3	logits	0.0	1360	0.4115434027808501
3	logits	0.0	1380	0.4119382704974961
3	logits	0.0	1400	0.4064280877590448
3	logits	0.0	1420	0.39941011532438736
3	logits	0.0	1440	0.3983655099639315
3	logits	0.0	1460	0.39887951256637927
3	logits	0.0	1480	0.39976152193904524
3	logits	0.0	1500	0.3972222329394611
3	logits	0.0	1520	0.39664398173695886
3	logits	0.0	1540	0.39459004883470333
3	logits	0.0	1560	0.39770876325748145
3	logits	0.0	1580	0.39329949228196276
3	logits	0.0	1600	0.3920597316962581
3	logits	0.0	1620	0.39063070665810606
3	logits	0.0	1640	0.39150063618785264
3	logits	0.0	1660	0.3900309501402326
3	logits	0.0	1680	0.3910338966723915
3	logits	0.0	1700	0.3914215015843989
3	logits	0.0	1720	0.38754173019257987
3	logits	0.0	1740	0.3837753011902513
3	logits	0.0	1760	0.3831490162488943
3	logits	0.0	1780	0.38271443324746507
3	logits	0.0	1800	0.37871705449980997
3	logits	0.0	1820	0.37335228134306697
3	logits	0.0	1840	0.37736881178106363
3	logits	0.0	1860	0.3799025804508962
3	logits	0.0	1880	0.3799849533328692
3	logits	0.0	1900	0.38013469140767864
3	logits	0.0	1920	0.3791637011932826
3	logits	0.0	1940	0.38074895959153954
3	logits	0.0	1960	0.378056133894634
3	logits	0.0	1980	0.37598453372983137
3	logits	0.0	2000	0.3787220994741579
