sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
4	random	0.4	20	0.28546443142008426
4	random	0.4	40	0.2596593163125553
4	random	0.4	60	0.24217826764549683
4	random	0.4	80	0.22822670222445088
4	random	0.4	100	0.21742921888257646
4	random	0.4	120	0.20888925073962078
4	random	0.4	140	0.2016262295148957
4	random	0.4	160	0.1976131803357761
4	random	0.4	180	0.1935819538892135
4	random	0.4	200	0.18962483743165234
4	random	0.4	220	0.18691076908160784
4	random	0.4	240	0.18559896143615734
4	random	0.4	260	0.18251892985594434
4	random	0.4	280	0.17909140057400252
4	random	0.4	300	0.17625790289590418
4	random	0.4	320	0.17582717521863023
4	random	0.4	340	0.17471693314264392
4	random	0.4	360	0.1729189404082956
4	random	0.4	380	0.17182472331420343
4	random	0.4	400	0.17076692539795346
4	random	0.4	420	0.16889292287980412
4	random	0.4	440	0.1671656265534048
4	random	0.4	460	0.165276599814215
4	random	0.4	480	0.16490413269504217
4	random	0.4	500	0.1649446901168869
4	random	0.4	520	0.16355462079561608
4	random	0.4	540	0.16298063748147484
4	random	0.4	560	0.16238450000762547
4	random	0.4	580	0.1606825196953765
4	random	0.4	600	0.1604248348494397
4	random	0.4	620	0.1605092809092896
4	random	0.4	640	0.16025789300233037
4	random	0.4	660	0.1601310795484744
4	random	0.4	680	0.15962354844702145
4	random	0.4	700	0.16012405013216802
4	random	0.4	720	0.15901855225404732
4	random	0.4	740	0.1586482088251263
4	random	0.4	760	0.15774895517469564
4	random	0.4	780	0.15828189032797696
4	random	0.4	800	0.15754650926392538
4	random	0.4	820	0.1567531776596442
4	random	0.4	840	0.1552421482762187
4	random	0.4	860	0.15682854691155454
4	random	0.4	880	0.15610136620265913
4	random	0.4	900	0.15487508224584856
4	random	0.4	920	0.15527737667160596
4	random	0.4	940	0.15555892319242773
4	random	0.4	960	0.15563484249406567
4	random	0.4	980	0.1555453086090299
4	random	0.4	1000	0.15561059048059506
4	random	0.4	1020	0.15555719568885223
4	random	0.4	1040	0.15432110541607744
4	random	0.4	1060	0.1545955582814128
4	random	0.4	1080	0.15476602183772617
4	random	0.4	1100	0.15454684337286365
4	random	0.4	1120	0.15458764522201163
4	random	0.4	1140	0.15425742617505167
4	random	0.4	1160	0.15368589719512676
4	random	0.4	1180	0.15383610986670673
4	random	0.4	1200	0.15394022675956437
4	random	0.4	1220	0.15357697590172778
4	random	0.4	1240	0.15355645619979888
4	random	0.4	1260	0.1530719087473509
4	random	0.4	1280	0.15435808347802452
4	random	0.4	1300	0.1541803187311916
4	random	0.4	1320	0.1546602539657786
4	random	0.4	1340	0.15445682673126115
4	random	0.4	1360	0.15415679235551086
4	random	0.4	1380	0.153513093523089
4	random	0.4	1400	0.15341006742770302
4	random	0.4	1420	0.15269781907314522
4	random	0.4	1440	0.1525495918755523
4	random	0.4	1460	0.1521417303565215
4	random	0.4	1480	0.15231375280780496
4	random	0.4	1500	0.15257545655783875
4	random	0.4	1520	0.15249078751132705
4	random	0.4	1540	0.15170508011666814
4	random	0.4	1560	0.15137112061267036
4	random	0.4	1580	0.152476614583819
4	random	0.4	1600	0.1520187518776619
4	random	0.4	1620	0.1515333379346804
4	random	0.4	1640	0.15146251827604762
4	random	0.4	1660	0.1527226706405842
4	random	0.4	1680	0.15279672365471364
4	random	0.4	1700	0.15365469787268382
4	random	0.4	1720	0.1528019704879281
4	random	0.4	1740	0.15188943650758804
4	random	0.4	1760	0.15182143350738642
4	random	0.4	1780	0.15197444802034324
4	random	0.4	1800	0.15257438164804255
4	random	0.4	1820	0.1520848078700004
4	random	0.4	1840	0.15102534992614047
4	random	0.4	1860	0.1519010202923251
4	random	0.4	1880	0.15199296365192713
4	random	0.4	1900	0.15175874549676577
4	random	0.4	1920	0.15208109737307493
4	random	0.4	1940	0.15131545159762383
4	random	0.4	1960	0.1513982098531768
4	random	0.4	1980	0.15051343860682834
4	random	0.4	2000	0.15113376758278718
