sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
5	random	0.4	20	0.28421621166310934
5	random	0.4	40	0.2576861858875429
5	random	0.4	60	0.2397725904519281
5	random	0.4	80	0.22566655671911368
5	random	0.4	100	0.21435012019216537
5	random	0.4	120	0.2049885304977688
5	random	0.4	140	0.19848468809297037
5	random	0.4	160	0.19259634303153378
5	random	0.4	180	0.18833321427522223
5	random	0.4	200	0.18419050433273407
5	random	0.4	220	0.18157594664324697
5	random	0.4	240	0.17764977195624285
5	random	0.4	260	0.17477760637790576
5	random	0.4	280	0.17317690896674004
5	random	0.4	300	0.1707808650260908
5	random	0.4	320	0.169944759541829
5	random	0.4	340	0.16819918201094497
5	random	0.4	360	0.1662409029735869
5	random	0.4	380	0.16418454268376434
5	random	0.4	400	0.16328481605946743
5	random	0.4	420	0.1633239778619869
5	random	0.4	440	0.1620907179442783
5	random	0.4	460	0.16099514535606765
5	random	0.4	480	0.1590871137050217
5	random	0.4	500	0.15988535223211953
5	random	0.4	520	0.1602740919507872
5	random	0.4	540	0.16008587611190914
5	random	0.4	560	0.15963186503242485
5	random	0.4	580	0.1593287062605517
5	random	0.4	600	0.15771798060338
5	random	0.4	620	0.15733246903289824
5	random	0.4	640	0.15716432772612887
5	random	0.4	660	0.156911194312158
5	random	0.4	680	0.15516269822574516
5	random	0.4	700	0.15486435222062728
5	random	0.4	720	0.15545701248375163
5	random	0.4	740	0.15457189112943606
5	random	0.4	760	0.1526042935400937
5	random	0.4	780	0.15251609283271467
5	random	0.4	800	0.152297990000448
5	random	0.4	820	0.1523630175809468
5	random	0.4	840	0.15260359664721498
5	random	0.4	860	0.15184818128171235
5	random	0.4	880	0.15150412649156092
5	random	0.4	900	0.15076625180402364
5	random	0.4	920	0.15047577376136112
5	random	0.4	940	0.1505086907778733
5	random	0.4	960	0.14986366201490625
5	random	0.4	980	0.14886824841534793
5	random	0.4	1000	0.14869584805173083
5	random	0.4	1020	0.1491270143046646
5	random	0.4	1040	0.149175504051064
5	random	0.4	1060	0.14881294020802185
5	random	0.4	1080	0.14829454546105036
5	random	0.4	1100	0.14766581062178
5	random	0.4	1120	0.14751609696327025
5	random	0.4	1140	0.14721058466935724
5	random	0.4	1160	0.14620206671416358
5	random	0.4	1180	0.14666839528989753
5	random	0.4	1200	0.1469231865606075
5	random	0.4	1220	0.14741746009912005
5	random	0.4	1240	0.1474007001191992
5	random	0.4	1260	0.14737646808308935
5	random	0.4	1280	0.1468267659574454
5	random	0.4	1300	0.14715595622693292
5	random	0.4	1320	0.14619471427198538
5	random	0.4	1340	0.14629188563539625
5	random	0.4	1360	0.1462711538799558
5	random	0.4	1380	0.1457871455364765
5	random	0.4	1400	0.14511989968047015
5	random	0.4	1420	0.14537894497640683
5	random	0.4	1440	0.14575036675189573
5	random	0.4	1460	0.14564181288697703
5	random	0.4	1480	0.14604045979101568
5	random	0.4	1500	0.14597907311151267
5	random	0.4	1520	0.14634570790599521
5	random	0.4	1540	0.14684115445069001
5	random	0.4	1560	0.1461677133721064
5	random	0.4	1580	0.14581531604064937
5	random	0.4	1600	0.14554045422459536
5	random	0.4	1620	0.14529422873676623
5	random	0.4	1640	0.14532481715304413
5	random	0.4	1660	0.14522157940819386
5	random	0.4	1680	0.14451621430089703
5	random	0.4	1700	0.1447663036502983
5	random	0.4	1720	0.14470522794949303
5	random	0.4	1740	0.14429614958192866
5	random	0.4	1760	0.14422751888407354
5	random	0.4	1780	0.1445391781528835
5	random	0.4	1800	0.144748891623403
5	random	0.4	1820	0.14384592366479526
5	random	0.4	1840	0.1437438672683534
5	random	0.4	1860	0.14421674204843704
5	random	0.4	1880	0.1427632821926994
5	random	0.4	1900	0.14288154580519644
5	random	0.4	1920	0.14224679007161758
5	random	0.4	1940	0.14261645458795938
5	random	0.4	1960	0.1435142170162618
5	random	0.4	1980	0.14245465927094333
5	random	0.4	2000	0.14226444560023185
