sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.6226415094339622	1.6391571234739235	0.7289968339649839	0.1
2	0.7735849056603774	1.7500518028626528	0.5159162484942759	0.1
3	0.8301886792452831	1.828002557403766	0.6517250505252526	0.1
4	0.8113207547169812	1.7368176608462114	0.6862223569279451	0.1
5	0.8301886792452831	1.923838661653967	0.5618185534343437	0.1
6	0.8867924528301887	1.956674867868405	0.6145301889131308	0.1
7	0.7358490566037735	1.605333800940752	0.5357425729710428	0.1
8	0.8301886792452831	1.960007940522056	0.5751444488969704	0.1
9	0.8113207547169812	1.9067514291423653	0.6110757405548819	0.1
10	0.7735849056603774	1.9759714036757987	0.7331105498505063	0.1
