sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq4	1400	msa_prob_dist	-2.1
seq3	1500	msa_prob_dist	74.1
seq8	1500	msa_prob_dist	74.0
seq9	1500	msa_prob_dist	73.6
seq2	1500	msa_prob_dist	23.2
seq5	1500	msa_prob_dist	21.4
seq7	1500	msa_prob_dist	18.7
seq1	1500	msa_prob_dist	15.0
seq0	1500	msa_prob_dist	12.7
seq6	1500	msa_prob_dist	9.8
seq4	1500	msa_prob_dist	-2.3
seq9	1600	msa_prob_dist	75.3
seq8	1600	msa_prob_dist	73.2
seq3	1600	msa_prob_dist	72.6
seq2	1600	msa_prob_dist	27.1
seq1	1600	msa_prob_dist	21.7
seq7	1600	msa_prob_dist	20.9
seq0	1600	msa_prob_dist	20.4
seq6	1600	msa_prob_dist	19.9
seq5	1600	msa_prob_dist	13.5
seq4	1600	msa_prob_dist	-0.0
seq8	1700	msa_prob_dist	96.0
seq9	1700	msa_prob_dist	83.3
seq3	1700	msa_prob_dist	76.1
seq2	1700	msa_prob_dist	33.7
seq0	1700	msa_prob_dist	32.9
seq7	1700	msa_prob_dist	30.2
seq6	1700	msa_prob_dist	27.5
seq1	1700	msa_prob_dist	20.3
seq5	1700	msa_prob_dist	19.8
seq4	1700	msa_prob_dist	-1.6
seq8	1800	msa_prob_dist	110.7
seq9	1800	msa_prob_dist	104.0
seq3	1800	msa_prob_dist	60.0
seq7	1800	msa_prob_dist	43.0
seq0	1800	msa_prob_dist	30.6
seq6	1800	msa_prob_dist	30.2
seq1	1800	msa_prob_dist	24.5
seq5	1800	msa_prob_dist	20.9
seq2	1800	msa_prob_dist	13.3
seq4	1800	msa_prob_dist	-1.4
seq9	1900	msa_prob_dist	120.3
seq8	1900	msa_prob_dist	97.3
seq3	1900	msa_prob_dist	66.9
seq7	1900	msa_prob_dist	44.4
seq0	1900	msa_prob_dist	43.3
seq6	1900	msa_prob_dist	39.5
seq5	1900	msa_prob_dist	38.1
seq1	1900	msa_prob_dist	24.4
seq2	1900	msa_prob_dist	24.3
seq8	2000	msa_prob_dist	119.3
seq9	2000	msa_prob_dist	108.2
seq3	2000	msa_prob_dist	64.9
seq5	2000	msa_prob_dist	62.5
seq1	2000	msa_prob_dist	61.1
seq2	2000	msa_prob_dist	44.6
seq6	2000	msa_prob_dist	44.1
seq7	2000	msa_prob_dist	40.4
seq0	2000	msa_prob_dist	39.0
seq8	2100	msa_prob_dist	123.7
seq9	2100	msa_prob_dist	93.2
seq2	2100	msa_prob_dist	72.7
seq5	2100	msa_prob_dist	68.0
seq7	2100	msa_prob_dist	63.1
seq6	2100	msa_prob_dist	62.6
seq1	2100	msa_prob_dist	57.7
seq3	2100	msa_prob_dist	55.5
seq0	2100	msa_prob_dist	47.5
seq8	2200	msa_prob_dist	131.0
seq9	2200	msa_prob_dist	118.7
seq3	2200	msa_prob_dist	73.4
seq7	2200	msa_prob_dist	68.9
seq2	2200	msa_prob_dist	66.4
seq0	2200	msa_prob_dist	58.7
seq6	2200	msa_prob_dist	56.8
seq5	2200	msa_prob_dist	49.5
seq1	2200	msa_prob_dist	33.9
seq4	2200	msa_prob_dist	-1.0
seq8	2300	msa_prob_dist	144.6
seq9	2300	msa_prob_dist	117.4
seq3	2300	msa_prob_dist	77.7
seq7	2300	msa_prob_dist	75.9
seq2	2300	msa_prob_dist	62.6
seq5	2300	msa_prob_dist	61.3
seq6	2300	msa_prob_dist	49.7
seq0	2300	msa_prob_dist	49.5
seq1	2300	msa_prob_dist	31.4
seq8	2400	msa_prob_dist	152.6
seq9	2400	msa_prob_dist	117.4
seq7	2400	msa_prob_dist	92.4
seq5	2400	msa_prob_dist	88.7
seq2	2400	msa_prob_dist	79.0
seq3	2400	msa_prob_dist	60.7
seq0	2400	msa_prob_dist	56.3
seq6	2400	msa_prob_dist	45.8
seq1	2400	msa_prob_dist	39.0
seq8	2500	msa_prob_dist	156.9
seq9	2500	msa_prob_dist	116.4
seq2	2500	msa_prob_dist	102.5
seq5	2500	msa_prob_dist	94.1
seq3	2500	msa_prob_dist	89.2
seq7	2500	msa_prob_dist	79.5
seq0	2500	msa_prob_dist	64.7
seq6	2500	msa_prob_dist	47.9
seq1	2500	msa_prob_dist	37.5
seq8	2600	msa_prob_dist	149.6
seq9	2600	msa_prob_dist	128.7
seq7	2600	msa_prob_dist	110.4
seq2	2600	msa_prob_dist	106.7
seq5	2600	msa_prob_dist	90.9
seq3	2600	msa_prob_dist	77.9
seq0	2600	msa_prob_dist	69.4
seq6	2600	msa_prob_dist	52.9
seq1	2600	msa_prob_dist	48.0
seq8	2700	msa_prob_dist	137.7
seq9	2700	msa_prob_dist	134.9
seq2	2700	msa_prob_dist	109.8
seq7	2700	msa_prob_dist	108.9
seq5	2700	msa_prob_dist	90.5
seq3	2700	msa_prob_dist	87.0
seq1	2700	msa_prob_dist	74.8
seq6	2700	msa_prob_dist	70.7
seq0	2700	msa_prob_dist	65.3
seq8	2800	msa_prob_dist	151.6
seq9	2800	msa_prob_dist	132.5
seq2	2800	msa_prob_dist	123.2
seq5	2800	msa_prob_dist	109.9
seq7	2800	msa_prob_dist	108.2
seq3	2800	msa_prob_dist	90.0
seq6	2800	msa_prob_dist	83.9
seq0	2800	msa_prob_dist	77.3
seq1	2800	msa_prob_dist	61.2
seq9	2900	msa_prob_dist	144.2
seq8	2900	msa_prob_dist	129.4
seq2	2900	msa_prob_dist	119.6
seq7	2900	msa_prob_dist	119.2
seq5	2900	msa_prob_dist	116.9
seq6	2900	msa_prob_dist	106.0
seq3	2900	msa_prob_dist	105.3
seq1	2900	msa_prob_dist	72.8
seq0	2900	msa_prob_dist	70.5
seq9	3000	msa_prob_dist	152.3
seq8	3000	msa_prob_dist	149.4
seq2	3000	msa_prob_dist	125.8
seq3	3000	msa_prob_dist	112.4
seq6	3000	msa_prob_dist	109.7
seq7	3000	msa_prob_dist	101.6
seq5	3000	msa_prob_dist	99.8
seq0	3000	msa_prob_dist	83.7
seq1	3000	msa_prob_dist	75.7
seq8	3100	msa_prob_dist	154.3
seq9	3100	msa_prob_dist	135.7
seq6	3100	msa_prob_dist	117.5
seq2	3100	msa_prob_dist	107.3
seq7	3100	msa_prob_dist	101.0
seq5	3100	msa_prob_dist	94.8
seq3	3100	msa_prob_dist	86.5
seq0	3100	msa_prob_dist	78.4
seq1	3100	msa_prob_dist	70.0
seq8	3200	msa_prob_dist	163.1
seq9	3200	msa_prob_dist	143.2
seq7	3200	msa_prob_dist	130.1
seq6	3200	msa_prob_dist	115.8
seq5	3200	msa_prob_dist	106.9
seq2	3200	msa_prob_dist	99.8
seq3	3200	msa_prob_dist	91.1
seq0	3200	msa_prob_dist	90.3
seq1	3200	msa_prob_dist	71.6
seq8	3300	msa_prob_dist	161.6
seq9	3300	msa_prob_dist	149.2
seq7	3300	msa_prob_dist	123.1
seq2	3300	msa_prob_dist	115.3
seq6	3300	msa_prob_dist	105.1
seq5	3300	msa_prob_dist	101.9
seq1	3300	msa_prob_dist	99.4
seq3	3300	msa_prob_dist	97.9
seq0	3300	msa_prob_dist	93.7
seq8	3400	msa_prob_dist	148.2
seq9	3400	msa_prob_dist	139.4
seq7	3400	msa_prob_dist	132.3
seq1	3400	msa_prob_dist	119.0
seq3	3400	msa_prob_dist	115.0
seq2	3400	msa_prob_dist	112.1
seq6	3400	msa_prob_dist	98.0
seq5	3400	msa_prob_dist	96.1
seq0	3400	msa_prob_dist	93.7
seq8	3500	msa_prob_dist	153.1
seq9	3500	msa_prob_dist	141.6
seq7	3500	msa_prob_dist	138.4
seq3	3500	msa_prob_dist	138.3
seq2	3500	msa_prob_dist	122.4
seq1	3500	msa_prob_dist	114.4
seq0	3500	msa_prob_dist	112.4
seq5	3500	msa_prob_dist	105.1
seq6	3500	msa_prob_dist	103.9
seq8	3600	msa_prob_dist	146.1
seq9	3600	msa_prob_dist	145.1
seq7	3600	msa_prob_dist	139.1
seq0	3600	msa_prob_dist	135.8
seq3	3600	msa_prob_dist	131.6
seq1	3600	msa_prob_dist	118.6
seq2	3600	msa_prob_dist	113.1
seq6	3600	msa_prob_dist	104.8
seq5	3600	msa_prob_dist	104.0
seq9	3700	msa_prob_dist	151.6
seq7	3700	msa_prob_dist	141.9
seq0	3700	msa_prob_dist	137.8
seq1	3700	msa_prob_dist	137.6
seq8	3700	msa_prob_dist	137.4
seq3	3700	msa_prob_dist	134.5
seq2	3700	msa_prob_dist	124.1
seq6	3700	msa_prob_dist	117.0
seq5	3700	msa_prob_dist	111.1
seq1	3800	msa_prob_dist	155.0
seq0	3800	msa_prob_dist	139.4
seq7	3800	msa_prob_dist	138.8
seq9	3800	msa_prob_dist	127.7
seq8	3800	msa_prob_dist	126.4
seq6	3800	msa_prob_dist	125.6
seq3	3800	msa_prob_dist	118.2
seq2	3800	msa_prob_dist	105.2
seq5	3800	msa_prob_dist	103.4
seq0	3900	msa_prob_dist	144.1
seq1	3900	msa_prob_dist	142.2
seq3	3900	msa_prob_dist	138.2
seq9	3900	msa_prob_dist	137.6
seq7	3900	msa_prob_dist	136.6
seq8	3900	msa_prob_dist	136.3
seq6	3900	msa_prob_dist	119.8
seq5	3900	msa_prob_dist	117.5
seq2	3900	msa_prob_dist	102.2
seq8	4000	msa_prob_dist	154.9
seq0	4000	msa_prob_dist	151.1
seq3	4000	msa_prob_dist	145.3
seq9	4000	msa_prob_dist	141.6
seq1	4000	msa_prob_dist	138.7
seq7	4000	msa_prob_dist	136.3
seq5	4000	msa_prob_dist	134.4
seq2	4000	msa_prob_dist	133.8
seq6	4000	msa_prob_dist	110.9
seq1	4100	msa_prob_dist	150.4
seq3	4100	msa_prob_dist	141.6
seq0	4100	msa_prob_dist	141.2
seq5	4100	msa_prob_dist	141.1
seq7	4100	msa_prob_dist	139.6
seq2	4100	msa_prob_dist	137.3
seq8	4100	msa_prob_dist	135.2
seq9	4100	msa_prob_dist	131.8
seq6	4100	msa_prob_dist	99.6
seq2	4200	msa_prob_dist	160.3
seq1	4200	msa_prob_dist	159.4
seq8	4200	msa_prob_dist	145.4
seq0	4200	msa_prob_dist	144.0
seq5	4200	msa_prob_dist	144.0
seq7	4200	msa_prob_dist	142.0
seq3	4200	msa_prob_dist	132.8
seq9	4200	msa_prob_dist	131.5
seq6	4200	msa_prob_dist	99.5
seq2	4300	msa_prob_dist	157.7
seq0	4300	msa_prob_dist	149.9
seq9	4300	msa_prob_dist	147.0
seq5	4300	msa_prob_dist	146.6
seq8	4300	msa_prob_dist	145.2
seq7	4300	msa_prob_dist	142.7
seq1	4300	msa_prob_dist	139.6
seq3	4300	msa_prob_dist	119.7
seq6	4300	msa_prob_dist	115.1
seq5	4400	msa_prob_dist	150.9
seq0	4400	msa_prob_dist	150.1
seq8	4400	msa_prob_dist	150.0
seq9	4400	msa_prob_dist	149.0
seq7	4400	msa_prob_dist	146.0
seq2	4400	msa_prob_dist	142.7
seq3	4400	msa_prob_dist	139.4
seq1	4400	msa_prob_dist	137.9
seq6	4400	msa_prob_dist	127.3
seq7	4500	msa_prob_dist	152.2
seq5	4500	msa_prob_dist	149.5
seq1	4500	msa_prob_dist	148.8
seq8	4500	msa_prob_dist	146.1
seq0	4500	msa_prob_dist	141.8
seq9	4500	msa_prob_dist	141.3
seq3	4500	msa_prob_dist	136.9
seq2	4500	msa_prob_dist	135.5
seq6	4500	msa_prob_dist	108.8
seq0	4600	msa_prob_dist	162.4
seq3	4600	msa_prob_dist	156.4
seq5	4600	msa_prob_dist	152.0
seq7	4600	msa_prob_dist	151.3
seq2	4600	msa_prob_dist	146.7
seq8	4600	msa_prob_dist	145.1
seq9	4600	msa_prob_dist	141.9
seq1	4600	msa_prob_dist	123.7
seq6	4600	msa_prob_dist	110.3
seq7	4700	msa_prob_dist	162.1
seq3	4700	msa_prob_dist	151.2
seq8	4700	msa_prob_dist	148.2
seq2	4700	msa_prob_dist	143.9
seq5	4700	msa_prob_dist	143.5
seq0	4700	msa_prob_dist	142.2
seq9	4700	msa_prob_dist	140.3
seq6	4700	msa_prob_dist	125.4
seq1	4700	msa_prob_dist	123.4
seq7	4800	msa_prob_dist	155.7
seq0	4800	msa_prob_dist	152.3
seq5	4800	msa_prob_dist	149.4
seq3	4800	msa_prob_dist	145.3
seq8	4800	msa_prob_dist	145.3
seq2	4800	msa_prob_dist	133.9
seq9	4800	msa_prob_dist	133.1
seq6	4800	msa_prob_dist	116.5
seq1	4800	msa_prob_dist	105.1
seq0	4900	msa_prob_dist	153.1
seq7	4900	msa_prob_dist	151.6
seq9	4900	msa_prob_dist	150.4
