sim_ind	normalized_rf	kf_distance	MAE
1	0.4916467780429594	4.878868785983671	1.1673045873989811
2	0.5369928400954654	5.1645802644747585	1.0507511766100148
3	0.522673031026253	5.066271850236416	0.9063086696349709
4	0.5322195704057279	5.071589621634908	0.9360815948524571
5	0.5178997613365155	5.0851877211606515	0.9142072260952736
6	0.4797136038186158	4.930208888381297	0.9029414547754836
7	0.5250596658711217	5.232642670596906	1.0637696114585597
8	0.5322195704057279	5.054781611309175	1.0238867181106355
9	0.5274463007159904	5.130621163810498	1.1657752108198631
10	0.4964200477326969	5.085371961496822	1.0386483105135695
