tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00004	859	0.05610369797027209	0.09012991500506781	0.04371465757981764	0.06533608990768718	0.7474376760864769	0.8684798701130915
nat	PF00004	7733	0.0616005274709893	0.08044813056567951	0.04752383196537704	0.05875859865806623	0.8022293138857594	0.9009201895082123
nat	PF00004	891	0.0584187904017296	0.08733269786363665	0.04495430743621456	0.06216054579420273	0.7643771629185552	0.8833387885824753
nat	PF00004	6541	0.05833395328638717	0.07840593891132229	0.0446592598448467	0.058696393423113426	0.8168143667706722	0.9062338976141396
nat	PF00004	4386	0.0589090091991565	0.08337876812098073	0.045794684327012905	0.0592801663667373	0.7854175250247808	0.8904302303854594
nat	PF00004	4327	0.06208573810360299	0.08211925980384102	0.04811775944844343	0.059666795457032816	0.7967786785056733	0.8946575431253808
nat	PF00004	6972	0.06152938721193287	0.08292284384688832	0.04660195891078091	0.06155541948350349	0.7953492240865188	0.8948035318245939
nat	PF00004	941	0.05973337624498868	0.08614337223193612	0.045668340547472895	0.062400587528483036	0.7814434480943463	0.8870071329520364
nat	PF00004	2014	0.06217729879148858	0.08326674558990194	0.04851377934292974	0.059711424016403	0.7901624090802617	0.8951383531738941
nat	PF00004	8582	0.060755302724194986	0.08564749297767103	0.047410995584050784	0.0611594162900101	0.7712574891548623	0.8821996608445222
nat	PF00005	859	0.04187333490478426	0.11418013276673267	0.03289126679834352	0.08489154117179615	0.15497931727157532	0.6090193055042749
nat	PF00005	7733	0.04415038015007694	0.13569111847950593	0.035001880507984015	0.10306072501177244	-0.750404511909164	0.48217409095701746
nat	PF00005	891	0.027419954749390383	0.11820365687407239	0.021841473631495634	0.09344552315643885	0.29467027389169964	0.5656173528322577
nat	PF00005	6541	0.046088089809614284	0.1579918764516891	0.035955001881422866	0.12150764563995312	-1.2083491678437133	0.5526924271222659
nat	PF00005	4386	0.03541481170638315	0.15849521134427877	0.026583613500955536	0.11962585172140872	-0.4280752542255408	0.25359181867330366
nat	PF00005	4327	0.025433528965726503	0.12805858740810436	0.0199072648211178	0.09343187850753479	0.128509157959955	0.5059363567153726
nat	PF00005	6972	0.052928710399999426	0.11226189974896898	0.042299402551606816	0.08564941308497558	0.21431690848812812	0.6049559991981583
nat	PF00005	941	0.050978040858651215	0.15612105114352673	0.03950985072531676	0.12479302677262681	-0.8153787578057017	0.5513079837941484
nat	PF00005	2014	0.045097064984586155	0.14811729312986202	0.034985083602128875	0.11439806784595907	-0.6333420803170022	0.555404369139284
nat	PF00005	8582	0.044138539660187916	0.12943263198285937	0.03547923783866738	0.10039319693021594	-0.17120169969353527	0.5682244910308825
nat	PF00041	859	0.05671378629487485	0.13028843913593652	0.04437764575200145	0.09958586081564223	-0.03103037542206666	0.3467410774855604
nat	PF00041	7733	0.06614430578485504	0.10080133457228763	0.05102647537901748	0.07768549144155185	0.24102342102787677	0.6271553141204307
nat	PF00041	891	0.06126995332763004	0.09942193594741619	0.04798071023849666	0.07731559986658254	0.26756635875164037	0.6429669980182041
nat	PF00041	6541	0.0670515199267088	0.11152861497958226	0.052544191572111265	0.08506379359120742	-0.09241242414638906	0.6173359985747667
nat	PF00041	4386	0.06941721290985352	0.11177653242191378	0.0551339986659903	0.08706216847946617	0.014175046521439305	0.5791499347004444
nat	PF00041	4327	0.05405547322407657	0.10866913010200382	0.04217574182714152	0.0828993168346489	0.3023131764330653	0.5778679631892334
nat	PF00041	6972	0.06747501730643769	0.10318483050754658	0.052556431799347596	0.07933751023021915	0.043606925761816684	0.610588743121761
nat	PF00041	941	0.06792219145404708	0.10574690256867594	0.05310509046099774	0.0823104854056953	0.05665131127977541	0.5926296347678196
nat	PF00041	2014	0.062382495668921456	0.09824808509235072	0.04831875471801214	0.07855859825859984	0.3840052195139584	0.6385620649268959
nat	PF00041	8582	0.06769981705106179	0.10625515548166828	0.053531275531050575	0.07918620284008596	0.16595954356768006	0.5108664969228055
nat	PF00072	859	0.035753680018860076	0.10804273550279837	0.027903263968401346	0.08456647159279172	0.13423641035546907	0.740973894952538
nat	PF00072	7733	0.028364029241161808	0.11727071611589801	0.022400038154812032	0.09198252023177735	0.24115772390325374	0.6049719632440457
nat	PF00072	891	0.0328452628988851	0.12405355097211285	0.025726729174245788	0.0934620333625161	-0.00036700283227619757	0.6837434733169925
nat	PF00072	6541	0.028903504951721618	0.16241338529733754	0.022644482270725068	0.11408915661295374	-0.6675173037433293	0.5001946455946913
nat	PF00072	4386	0.027015349480871465	0.10969116053169463	0.021408222959767426	0.089542553923438	0.3088388776884069	0.6971066476303984
nat	PF00072	4327	0.02898764877456805	0.18347054292992523	0.023529200184624507	0.1262682834727203	-1.0751472962661301	0.5450992308581706
nat	PF00072	6972	0.03173383095595007	0.10375614079963685	0.025555077709408472	0.08016338042222093	0.45504213602711363	0.7502958825910386
nat	PF00072	941	0.028910819523038627	0.12856058451963553	0.0228530870795248	0.10337173821583813	-0.05786447485397361	0.5724700392126765
nat	PF00072	2014	0.02863876122156948	0.15624367870687375	0.02203907778485675	0.11936959276433756	-0.6190733862433948	0.6100682810621999
nat	PF00072	8582	0.02954103960371739	0.11256733617192588	0.023861674979765303	0.08948388698432994	0.15401452152473938	0.7301848158841189
nat	PF00076	859	0.045593841011175903	0.10507132468957878	0.03647625780754711	0.07846888483608386	0.3320797969381244	0.610967135981673
nat	PF00076	7733	0.04845855457951798	0.10302480906495834	0.03778368725001704	0.07949920459901395	0.4173202421766211	0.6763045149530199
