tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	1	0.10190136033507687	0.11417199036367434
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	7	0.23896709681492925	0.2505386904061281
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	6	0.10479359346864754	0.09343694366014274
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	8	0.055206109694571584	0.07662428003414987
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	2	0.08799441365604341	0.10280646865405657
MSA-1b-logitsprop-static-100-init-seq-0	PF00005	10	0.18947123274304395	0.19980963721007583
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	5	0.08110093059953385	0.09842028323666516
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	4	0.17757823472042106	0.18956409646878472
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	9	0.20320312739493893	0.2148737563644662
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	3	0.33707083031450297	0.3446123120739156
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	1	0.2880244339378528	0.294889468953871
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	7	0.13257573318232063	0.15066253116349904
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	6	-0.0037747722829889127	0.012667124886952154
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	8	0.2054365775241028	0.2223687827674255
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	2	0.06419015559918494	0.08723853529873718
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	10	0.03591351552474465	0.05489517353710649
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	5	0.19622664695706526	0.20789336342192177
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	4	0.29440562754647015	0.29241467826751627
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	9	0.33841356217996765	0.34413303465169653
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	3	0.16372258335731293	0.17907413862192118
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	1	0.10190136033507687	0.11417199036367434
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	7	0.23896709681492925	0.2505386904061281
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	6	0.10479359346864754	0.09343694366014274
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	8	0.055206109694571584	0.07662428003414987
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	2	0.08799441365604341	0.10280646865405657
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00005	10	0.18947123274304395	0.19980963721007583
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	2	0.6739873858836863	0.747857124813058
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	5	0.5180688018646362	0.6107140592518426
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	9	0.4686546145702549	0.5746655087067764
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	8	0.5197070692727667	0.6292685430670911
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	1	0.5789576435156653	0.6637585817881684
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	7	0.5868151441479869	0.6743181487131633
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	6	0.6842327238605175	0.7583093466647989
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	10	0.6180161290536702	0.705301693839713
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	4	0.5217058372265144	0.6242554528603543
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	3	0.5664806347920635	0.6683900475158043
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	2	0.5951338779891907	0.6522753770330596
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	5	0.7002632496304306	0.7497301340715037
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	9	0.5107450480753455	0.6118306683194094
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	8	0.5038980458232407	0.5923683632749724
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	1	0.6693831573917125	0.7189540456238757
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	7	0.5725169212746609	0.6585089660447316
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	6	0.6442353083785732	0.7005196175669501
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	10	0.6412094278070548	0.7129899197174223
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	4	0.6687796405181372	0.7415644954247083
MSA-1b-logitsprop-static-100-init-seq-0	PF00004	3	0.6342377093736181	0.7005285021760912
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	2	0.673750978196393	0.7679502096198519
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	5	0.6480200065840555	0.7382413754361761
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	9	0.5842699491876949	0.6849851793384271
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	8	0.6116019385378114	0.7101151014710443
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	1	0.6671290197422024	0.7553544048345704
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	7	0.5459950478912532	0.6624512348083277
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	6	0.7326946168103774	0.8102792643537886
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	10	0.61150112463449	0.7091297773333249
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	4	0.7056983918169264	0.7826638659074269
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	3	0.5904236179598171	0.6916306350480257
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	2	0.6179009066600682	0.7079145727411382
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	5	0.5543714684751072	0.6526583882087682
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	9	0.5234888063154867	0.6360547978243001
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	8	0.5328495276680286	0.6393733297396968
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	1	0.642227668830748	0.7203168996284887
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	7	0.5881755843250509	0.6748586677532439
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	6	0.43826590378815844	0.5742767528751638
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	10	0.5566895850673965	0.6486943942783634
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF00004	4	0.5829065489465286	0.6724309650316357
