tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr	mean_hd_corr
ESM2-33T-650M-logitsprop	PF00004	5.5	0.6689128344777112	0.7495554128189259	0.7820001939476302
ESM2-33T-650M-logitsprop	PF00005	5.5	0.23336533726046102	0.2595879225639919	0.2531810875318654
ESM2-33T-650M-logitsprop	PF00041	5.5	0.22808390263984396	0.27588327758072295	0.2538885437063474
ESM2-33T-650M-logitsprop	PF00072	5.5	0.3422229953422179	0.3637038286712804	0.3548069788362877
ESM2-33T-650M-logitsprop	PF00076	5.5	0.29174126036855236	0.3448376696154808	0.3613013077940224
ESM2-33T-650M-logitsprop	PF00096	5.5	0.19816813347324608	0.2207123519575817	0.1927583167000653
ESM2-33T-650M-logitsprop	PF00153	5.5	0.3126523013373125	0.42699615305055677	0.4522372779157025
ESM2-33T-650M-logitsprop	PF00271	5.5	0.3025650478543369	0.3617828544314306	0.4031832907704942
ESM2-33T-650M-logitsprop	PF00397	5.5	0.1488412230581605	0.1864780242051416	0.1930309363216578
ESM2-33T-650M-logitsprop	PF00512	5.5	0.40077844003194973	0.49064988278751975	0.5554886782086579
ESM2-33T-650M-logitsprop	PF00595	5.5	0.4684646917843482	0.6444321855242812	0.7118603238865127
ESM2-33T-650M-logitsprop	PF01535	5.5	0.15118774477635538	0.16868394756294644	0.2020485377068689
ESM2-33T-650M-logitsprop	PF02518	5.5	0.3118561303996185	0.3855279659044034	0.3756595051479316
ESM2-33T-650M-logitsprop	PF07679	5.5	0.1991267615679188	0.24090555602707592	0.2660604169573081
ESM2-33T-650M-logitsprop	PF13354	5.5	0.6365463719366744	0.7631516033832216	0.8117987499019336
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00004	5.5	0.6371084691361022	0.7312801048150963	0.7620452245302431
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00005	5.5	0.15213187665146138	0.1670192064751423	0.1699535161566993
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00041	5.5	0.2689704430610412	0.32265116316138276	0.263769651223504
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00072	5.5	0.3123272193637511	0.34053702394151436	0.3381906581629575
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00076	5.5	0.326189152197461	0.3604237118705269	0.3291348726331254
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00096	5.5	0.15845955284587113	0.1824039082459687	0.1761057453935282
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00153	5.5	0.37319334940083615	0.5204136230193824	0.562131909950988
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00271	5.5	0.5281085634453947	0.5834223114409784	0.5982715455803065
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00397	5.5	0.2525458396692031	0.30415194306217785	0.3231901381064411
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00512	5.5	0.36963790561288773	0.4538222331209454	0.4924770825902602
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF00595	5.5	0.5851600904207476	0.7394002174224739	0.7386605328390747
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	5.5	0.13952569031762654	0.15909205703499732	0.1694033060840213
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF02518	5.5	0.5535884817705148	0.5812544630896573	0.5336544055783021
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF07679	5.5	0.32892487905813844	0.3762301565035061	0.396265572327997
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF13354	5.5	0.6078862299108646	0.7619506351573279	0.8339952834573264
MSA-1b-logitsprop-static-10-init-seq-0	PF00004	5.5	0.5736625984187762	0.665683850722077	0.7130129199285922
MSA-1b-logitsprop-static-10-init-seq-0	PF00005	5.5	0.1563487861676058	0.1737755964644711	0.1801872583689884
MSA-1b-logitsprop-static-10-init-seq-0	PF00041	5.5	0.21910366455881403	0.26558078791883005	0.2656681254847916
MSA-1b-logitsprop-static-10-init-seq-0	PF00072	5.5	0.3620753167744667	0.38283279573119344	0.3803817284422006
MSA-1b-logitsprop-static-10-init-seq-0	PF00076	5.5	0.22277726886995977	0.2609429037848304	0.2363835289384432
MSA-1b-logitsprop-static-10-init-seq-0	PF00096	5.5	0.12079687575111467	0.14636236302444297	0.1305931006657459
MSA-1b-logitsprop-static-10-init-seq-0	PF00153	5.5	0.34983741454773043	0.48558984918170134	0.5302621963444077
MSA-1b-logitsprop-static-10-init-seq-0	PF00271	5.5	0.3108257139836257	0.3699479173181606	0.4191876098224411
MSA-1b-logitsprop-static-10-init-seq-0	PF00397	5.5	0.15012383584169678	0.189569980129559	0.2013356780199141
MSA-1b-logitsprop-static-10-init-seq-0	PF00512	5.5	0.20764058569860294	0.29573084990641474	0.4181359937918955
MSA-1b-logitsprop-static-10-init-seq-0	PF00595	5.5	0.2982218400954527	0.4216210620276558	0.4854944482393319
MSA-1b-logitsprop-static-10-init-seq-0	PF01535	5.5	0.07502257681589096	0.09431190322585645	0.118244453720536
MSA-1b-logitsprop-static-10-init-seq-0	PF02518	5.5	0.13818227381197973	0.21410695636349003	0.2548918796524794
MSA-1b-logitsprop-static-10-init-seq-0	PF07679	5.5	0.2955076602430491	0.3400159150081638	0.3755008620384803
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	5.5	0.6512603696121848	0.7868620025348212	0.8496616824190127
Potts	PF00004	5.5	0.6883361579422094	0.7397084609945719	0.8073405842452555
Potts	PF00005	5.5	0.3031106725782654	0.31930391018151505	0.3670456135383091
Potts	PF00041	5.5	0.2840202062929788	0.3297249528036433	0.3535087647462547
Potts	PF00072	5.5	0.3852194621339679	0.40832669473495314	0.4511131265857197
Potts	PF00096	5.5	0.136888613843489	0.1563605389647952	0.1814175855949721
Potts	PF00271	5.5	0.3763036502152907	0.43369941727842	0.5405568884836164
Potts	PF00397	5.5	0.2111433734649467	0.25095852947538366	0.2810448853575211
Potts	PF00595	5.5	0.5015528326959988	0.5827353995816932	0.6039843456968952
Potts	PF01535	5.5	0.18031894499281373	0.20235102471785557	0.2269931543674689
Potts	PF07679	5.5	0.3924746650270518	0.42140326617649143	0.4993989072755253
