sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
1	random	0.4	20	0.48263694094497733
1	random	0.4	40	0.42703762751866137
1	random	0.4	60	0.392818628212642
1	random	0.4	80	0.3664973023987957
1	random	0.4	100	0.34533848196761685
1	random	0.4	120	0.32981857333055864
1	random	0.4	140	0.31580698981436117
1	random	0.4	160	0.3054012400963051
1	random	0.4	180	0.29551130962564565
1	random	0.4	200	0.2876171015601208
1	random	0.4	220	0.28235365101795834
1	random	0.4	240	0.27676929710100345
1	random	0.4	260	0.270929647411214
1	random	0.4	280	0.26761101078143024
1	random	0.4	300	0.2639982767087629
1	random	0.4	320	0.2603987949851901
1	random	0.4	340	0.25733842802469686
1	random	0.4	360	0.2553653786361536
1	random	0.4	380	0.25301539021620717
1	random	0.4	400	0.2515882782447194
1	random	0.4	420	0.24894805076454066
1	random	0.4	440	0.24754451504780942
1	random	0.4	460	0.24741502742707627
1	random	0.4	480	0.24550140080881758
1	random	0.4	500	0.24456056065166398
1	random	0.4	520	0.2434119364683
1	random	0.4	540	0.2416497868760475
1	random	0.4	560	0.24081014760609729
1	random	0.4	580	0.24093306299097222
1	random	0.4	600	0.24003321896700228
1	random	0.4	620	0.23828867605569762
1	random	0.4	640	0.2366865847104564
1	random	0.4	660	0.23594494660691806
1	random	0.4	680	0.23571099828811162
1	random	0.4	700	0.23494308066418734
1	random	0.4	720	0.23393414179874342
1	random	0.4	740	0.23339174127089973
1	random	0.4	760	0.23107148226619673
1	random	0.4	780	0.23016434654853116
1	random	0.4	800	0.23068607126421758
1	random	0.4	820	0.2300353214293483
1	random	0.4	840	0.22907001273219374
1	random	0.4	860	0.22809024210197684
1	random	0.4	880	0.22827095823047547
1	random	0.4	900	0.22638603689940057
1	random	0.4	920	0.22623671732531922
1	random	0.4	940	0.22581089366057608
1	random	0.4	960	0.22413045791709701
1	random	0.4	980	0.2243929884833996
1	random	0.4	1000	0.2246997110423815
1	random	0.4	1020	0.225279844954118
1	random	0.4	1040	0.22379799280887452
1	random	0.4	1060	0.2249365797217783
1	random	0.4	1080	0.22435663987830276
1	random	0.4	1100	0.22250574156306216
1	random	0.4	1120	0.2223540763404584
1	random	0.4	1140	0.22218386734598283
1	random	0.4	1160	0.2207297966841582
1	random	0.4	1180	0.21997838852506732
1	random	0.4	1200	0.22109001487858576
1	random	0.4	1220	0.2205591165415971
1	random	0.4	1240	0.22159313234246653
1	random	0.4	1260	0.22139402426549923
1	random	0.4	1280	0.22041433677488295
1	random	0.4	1300	0.22059575829136763
1	random	0.4	1320	0.2202363145913724
1	random	0.4	1340	0.21847150111075989
1	random	0.4	1360	0.21839027867780414
1	random	0.4	1380	0.21698271370445904
1	random	0.4	1400	0.21770363109396335
1	random	0.4	1420	0.21740663668415125
1	random	0.4	1440	0.21812684136601915
1	random	0.4	1460	0.2180924778527636
1	random	0.4	1480	0.21874853642215156
1	random	0.4	1500	0.21781601216947263
1	random	0.4	1520	0.21839275357665833
1	random	0.4	1540	0.21739466604432844
1	random	0.4	1560	0.21701855566201494
1	random	0.4	1580	0.21631706239769835
1	random	0.4	1600	0.2166087100626214
1	random	0.4	1620	0.21691520329207428
1	random	0.4	1640	0.21626177149755513
1	random	0.4	1660	0.21674538668250803
1	random	0.4	1680	0.21591194168250316
1	random	0.4	1700	0.21519561778052285
1	random	0.4	1720	0.21432305679082117
1	random	0.4	1740	0.21416057820779882
1	random	0.4	1760	0.21524991619838657
1	random	0.4	1780	0.2152464980736246
1	random	0.4	1800	0.2162370131612091
1	random	0.4	1820	0.21591495987077308
1	random	0.4	1840	0.2159022112857263
1	random	0.4	1860	0.21611266889138053
1	random	0.4	1880	0.21585971347820598
1	random	0.4	1900	0.214544027233839
1	random	0.4	1920	0.21541417660424178
1	random	0.4	1940	0.2149406753298223
1	random	0.4	1960	0.21453199325249778
1	random	0.4	1980	0.2144011939604447
1	random	0.4	2000	0.2144069356738678
