sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.5952380952380952	2.417113487931683	0.6306879387875262	0.2
2	0.6666666666666666	2.812186663873608	0.8962870419746274	0.2
3	0.6428571428571429	2.8038357907092593	0.8279193017536999	0.2
4	0.6190476190476191	2.454382110228979	0.8602636840359398	0.2
5	0.5714285714285714	2.2762743977818025	0.8389111172875261	0.2
6	0.6904761904761905	2.761565100537602	1.1447280638900643	0.2
7	0.6666666666666666	3.2510318411188535	1.5154029134894305	0.2
8	0.5952380952380952	2.379521572564716	0.7371500630042279	0.2
9	0.6904761904761905	2.7021662899645307	0.902599084497887	0.2
10	0.47619047619047616	2.467301398662101	0.6551953659249476	0.2
