sim_ind	normalized_rf	kf_distance	MAE	median_clade_support
1	0.46153846153846156	1.2492139606518708	1.0514311862095236	0.30000000000000004
2	0.5384615384615384	1.3035176539295843	0.9578260476	0.30000000000000004
3	0.5384615384615384	1.277359603433104	1.1548364008190475	0.30000000000000004
4	0.6153846153846154	1.3809324484003913	1.0943411331238093	0.30000000000000004
5	0.7692307692307693	1.426120810430334	1.507217054495238	0.30000000000000004
6	0.6923076923076923	1.2901553385215634	1.001372237009523	0.30000000000000004
7	0.6153846153846154	1.2411149260466399	1.1619738785714289	0.30000000000000004
8	0.7692307692307693	1.4351156770855142	1.253547106552381	0.30000000000000004
9	0.6923076923076923	1.2584822608949193	1.2419906059999997	0.30000000000000004
10	0.6923076923076923	1.294678523955974	1.2286820223619044	0.30000000000000004
